 Dataset Name , Short Description , Provider/Source , Spatial Coverage , Temporal Coverage , Spatial Resolution , Temporal Resolution , Key Variables , Data Quality Indicators , Metadata Completeness , Update Frequency , Data Provenance , Preprocessing Steps , Access Methods , API/Package Links , Example Scripts , License/Terms , Integration Challenges , Data Ownership , Versioning/Change Log , Data Citation , Benchmarking/Validation Studies , Potential Applications (Agroecological) , Priority Level 
 CHIRPS ," High-resolution, quasi-global rainfall dataset blending satellite imagery and station data for trend analysis and seasonal drought monitoring "," [Climate Hazards Center (CHC), UCSB](https://www.chc.ucsb.edu/data/chirps) "," 50°S–50°N, 180°W–180°E ", 1981–present (updated frequently) , 0.05° x 0.05° (\~5.5 km at equator) ," Daily, pentadal (5-day), dekadal (10-day), monthly ", Precipitation (mm) , Validated against station data; uncertainty estimates; provisional data for \~20 days after month end ," Spatial/temporal coverage, source, version, units, coordinate system (WGS84) ", Updated within 45 days; provisional data replaced with final , Satellite + station blend; processing steps documented on [CHC website](https://www.chc.ucsb.edu/data/chirps) ," Resampling, masking, unit conversion, missing data handling "," FTP/HTTP ([CHC data portal](https://data.chc.ucsb.edu/data/chirps/)), [FEWS NET Data Portal](https://earlywarning.usgs.gov/fews), [Google Earth Engine (GEE)](https://developers.google.com/earth-engine/datasets/catalog/UCSB-CHG_CHIRPS_DAILY), R package ([`chirps` on CRAN](https://cran.r-project.org/web/packages/chirps/index.html)) "," [GEE API Docs](https://developers.google.com/earth-engine/api_docs), [R package chirps](https://cran.r-project.org/web/packages/chirps/index.html) ", [Example: Script to Download CHIRPS in R (GitHub)](https://github.com/AdaptationAtlas/hazards/blob/main/R/01_download_data/download_chirps.R) , Open for research and non-commercial use ," Large file sizes, need for specific libraries (e.g., `netCDF4`, `xarray`), handling provisional data, managing missing data flags "," [Climate Hazards Center, UCSB](https://www.chc.ucsb.edu/data/chirps) ", Version history on [CHC website](https://www.chc.ucsb.edu/data/chirps) ," Cite as: ""CHIRPS dataset provided by Climate Hazards Group, UCSB"" "," [CHIRPS Validation on CHC website](https://www.chc.ucsb.edu/data/chirps/validation), [CHIRPS v2.0: Increased resolution from climate station evaluation (Funk et al., 2015)](https://doi.org/10.1038/sdata.2015.66) "," Rainfall pattern analysis, drought monitoring, crop yield modeling, water resource management, agroclimatic zoning, validation of local climate data ", **High (core dataset for agroecology)** 
 AgERA5 ," Reanalysis dataset tailored for agriculture, based on ERA5 but with additional variables and adjustments for agricultural applications ", [ECMWF/C3S](https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/agera5) , Global , 1979–present (updated daily with a short delay) , 0.1° x 0.1° (\~10 km) , Hourly ," Standard ERA5 variables plus: Evapotranspiration (actual/potential), Soil water content (various depths), Leaf Area Index (LAI), Fraction of Absorbed Photosynthetically Active Radiation (FAPAR), crop-specific indicators "," Model-based, validated against ground observations where possible; uncertainty and bias information in documentation; see [ECMWF documentation](https://confluence.ecmwf.int/display/CKB/ERA5+data+documentation) "," Full metadata in GRIB files (variable definitions, units, provenance, coordinate system, version) ", Updated daily with a short delay , Derived from ERA5 reanalysis; further processed for agricultural relevance; see [AgERA5 documentation](https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/agera5) ," Convert GRIB to NetCDF for easier handling (`cfgrib`, `eccodes`, `xarray`); spatial/temporal subsetting; handle large file sizes; check units/definitions for ag variables "," [Copernicus Data Space Ecosystem (CDSE)](https://dataspace.copernicus.eu/), [ECMWF AgERA5 page](https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/agera5) "," [CDS API Docs](https://cds.climate.copernicus.eu/how-to-api), [cfgrib Python package](https://github.com/ecmwf/cfgrib), [eccodes](https://confluence.ecmwf.int/display/ECC/ecCodes+Home) ", [Example: Script to download AgERA5 in R(GitHub)](https://github.com/AdaptationAtlas/hazards/blob/main/R/01_download_data/download_AgERA5.R) ," [Copernicus license](https://cds.climate.copernicus.eu/terms-and-conditions) (free for research/educational use, registration required) "," Registration required, GRIB format requires specific tools, large data volume, agricultural variable definitions may differ from other datasets "," [ECMWF](https://www.ecmwf.int/), [Copernicus Climate Change Service](https://climate.copernicus.eu/) ", Versioning and change log available on [CDSE](https://cds.climate.copernicus.eu/cdsapp#!/dataset/insitu-gridded-observations-europe) and [ECMWF AgERA5](https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/agera5) ," Cite as: ""AgERA5 dataset provided by ECMWF and Copernicus Climate Change Service (C3S)"" "," [AgERA5: Dataset evaluation and use for crop modeling (ECMWF)](https://www.ecmwf.int/en/elibrary/19899-agera5-dataset-evaluation-and-use-crop-modelling), [AgERA5 technical note (PDF)](https://datastore.copernicus-climate.eu/documents/insitu-gridded-observations-europe/AgERA5_TechNote_v1.0.pdf) "," Crop yield forecasting, irrigation management, pest/disease modeling, land suitability assessment, drought/heat stress monitoring, vegetation dynamics (LAI, FAPAR), water resource management, climate change impact assessment, soil moisture studies ", **High (core dataset for agroecology and climate-adaptive agriculture)** 
 TerraClimate ," High-resolution (\~4 km, 1/24°) monthly global dataset of climate and climatic water balance variables for terrestrial surfaces, combining climatological normals with coarser time-varying data for detailed, temporally consistent records "," [Climatology Lab, University of California Merced (UCM)](https://www.climatologylab.org/terraclimate.html) ", Global (all terrestrial surfaces) , 1958–present (updated annually) , 1/24° (\~4 km) , Monthly ," Precipitation, max/min temperature, wind speed, vapor pressure, vapor pressure deficit, downward shortwave radiation, reference/actual evapotranspiration, climatic water deficit, soil moisture, runoff, snow water equivalent, Palmer Drought Severity Index (PDSI) "," Validated against station and streamflow data; improved mean absolute error and spatial realism; inherits biases from parent datasets (e.g., precipitation bias in mountains) "," Metadata available for variables, units, provenance, and grid; NetCDF metadata includes time, lat, lon, variable ", Updated annually when parent datasets become available ," WorldClim v2 (climatology), CRU Ts4.0 and JRA55 (monthly anomalies), climatically aided interpolation; water balance via modified Thornthwaite-Mather model "," Check missing data flags; handle large files; use geospatial tools (netCDF4, xarray, raster, R) "," [Climatology Lab website](https://www.climatologylab.org/terraclimate.html), [Microsoft Planetary Computer](https://planetarycomputer.microsoft.com/dataset/terraclimate), [Google Earth Engine](https://developers.google.com/earth-engine/datasets/catalog/IDAHO_EPSCOR_TERRACLIMATE), [THREDDS servers](https://www.climatologylab.org/terraclimate.html) "," [Google Earth Engine API Docs](https://developers.google.com/earth-engine/datasets/catalog/IDAHO_EPPSOR_TERRACLIMATE), [Planetary Computer API Docs](https://planetarycomputer.microsoft.com/docs/overview/about/), [THREDDS server access](https://www.climatologylab.org/terraclimate.html), [R package (datazoom.amazonia vignette)](https://cran.r-project.org/web/packages/datazoom.amazonia/vignettes/TERRACLIMATE.html) "," [Download TerraClimate in Python/R via THREDDS server](https://www.climatologylab.org/terraclimate.html), or use [GEE script example](https://developers.google.com/earth-engine/datasets/catalog/IDAHO_EPPSOR_TERRACLIMATE) ", [Public domain (CC0 license)](https://www.climatologylab.org/terraclimate.html); free for research and operational use , Large file sizes; requires geospatial software; annual updates; monthly resolution limits capture of short-term extremes; model-derived variables have uncertainties in data-sparse regions ," [Climatology Lab, University of California Merced](https://www.climatologylab.org/terraclimate.html) ", Versioning/change log not specified; annual updates tracked via parent datasets ," Abatzoglou et al. (2018): TerraClimate, a high-resolution global dataset of monthly climate and climatic water balance from 1958–2015. Scientific Data, 5, <https://doi.org/10.1038/sdata.2017.191> "," [Scientific Data article (Abatzoglou et al., 2018)](https://doi.org/10.1038/sdata.2017.191), [Climate Data Guide summary](https://climatedataguide.ucar.edu/climate-data/terraclimate-global-high-resolution-gridded-temperature-precipitation-and-other-water) "," Climate trend/variability analysis, drought monitoring, water balance and agricultural risk assessment, crop yield modeling, agroclimatic zoning, ecological/hydrological modeling, validation/downscaling of coarser datasets ", **High (core dataset for agroecological and climate-adaptive research)** 
 IMERG (Integrated Multi-satellitE Retrievals for GPM) ," NASA/JAXA quasi-global (90°S–90°N), high-resolution (0.1° x 0.1°) precipitation estimates by merging GPM satellite constellation data with microwave, infrared, and gauge observations ", [NASA GPM](https://gpm.nasa.gov/) / [JAXA](https://global.jaxa.jp/projects/sat/gpm/) ," Quasi-global (90°S–90°N, 180°W–180°E) "," June 2000–present (updated with latency: Early, Late, Final Runs) ", 0.1° x 0.1° (\~10 km) ," Half-hourly, daily, monthly "," Precipitation rate (mm/hr), accumulated precipitation (mm), error estimates, counts of contributing retrievals ", Validation against global gauge networks; error estimates included; Final Run is highest quality; see [IMERG Algorithm Theoretical Basis Document](https://gpm.nasa.gov/resources/documents/imerg-algorithm-theoretical-basis-document) ," NetCDF files include variable/unit metadata, time, lat, lon, run type, version, and error variables "," Half-hourly to monthly, depending on product and run (Early: \~4h latency; Late: \~12h; Final: \~3 months) ", Merges GPM satellite data (microwave/IR sensors) with gauge data; multiple runs differ by latency and data sources; see [IMERG documentation](https://gpm.nasa.gov/data/imerg) , Handle large files; use netCDF4/xarray/rioxarray (Python) or raster (R); check fill values; aggregate temporally as needed; select appropriate run (Early/Late/Final) ," [NASA GES DISC](https://disc.gsfc.nasa.gov/datasets?keywords=IMERG), [Google Earth Engine](https://developers.google.com/earth-engine/datasets/catalog/NASA_GPM_L3_IMERG_V07), [ERDDAP servers (example)](https://coastwatch.pfeg.noaa.gov/erddap/griddap/NASA_GPM_3IMERGDF_06.html) "," [GEE API Docs](https://developers.google.com/earth-engine/datasets/catalog/NASA_GPM_L3_IMERG_V07), [GES DISC Data Access](https://disc.gsfc.nasa.gov/datasets?keywords=IMERG), [IMERG Data Cookbook](https://disc.gsfc.nasa.gov/information/howto?keywords=IMERG) "," [GES DISC IMERG Python Example](https://disc.gsfc.nasa.gov/information/howto?keywords=IMERG), [GEE JavaScript Example](https://code.earthengine.google.com/?scriptPath=Examples:Datasets/NASA/NASA_GPM_L3_IMERG_V07) "," [NASA Data Policy](https://earthdata.nasa.gov/earthdata/earthdata-citation-policy) (open for research/non-commercial use, acknowledge NASA/JAXA/GPM) "," Large file sizes; software requirements; different runs have different latency/accuracy; missing data flags; only precipitation (no temperature, etc.) ", [NASA](https://gpm.nasa.gov/) / [JAXA](https://global.jaxa.jp/projects/sat/gpm/) , [IMERG Versioning](https://gpm.nasa.gov/data/directory) (version and change log per product) ," ""Huffman, G.J., et al., 2020. NASA Global Precipitation Measurement (GPM) Integrated Multi-satellitE Retrievals for GPM (IMERG), Version 07. NASA's GES DISC. <https://doi.org/10.5067/GPM/IMERG/3B-HH/07>"" "," [IMERG Validation Reports](https://gpm.nasa.gov/data/validation), [IMERG Algorithm Theoretical Basis](https://gpm.nasa.gov/resources/documents/imerg-algorithm-theoretical-basis-document) "," Rainfall pattern analysis, drought monitoring, extreme precipitation event analysis, crop yield modeling, water resource management, agroclimatic zoning, validation of local rainfall data, sub-daily/daily hydrological modeling ", **High (core precipitation dataset for agroecological and climate studies)** 
 TAMSAT ," Long-term, high-resolution rainfall dataset for Africa, blending Meteosat thermal infrared satellite imagery with ground-based rain gauge observations for operational rainfall monitoring and climate risk assessment. "," [Department of Meteorology, University of Reading](https://www.tamsat.org.uk/) ", Africa (continental) , 1983–present (updated regularly) , 0.0375° x 0.0375° (\~4 km) ," Daily, dekadal (10-day), monthly "," Rainfall/precipitation (mm), soil moisture estimates (for some products) ", Calibrated with ground-based rain gauges; validation and uncertainty assessments published in peer-reviewed literature; quality control flags in data files ," NetCDF files include variable names, units, time, lat, lon, version, and quality flags; documentation available on [TAMSAT website](https://www.tamsat.org.uk/) ", Updated regularly as new satellite and gauge data become available ," Derived from Meteosat TIR imagery, calibrated with gauge observations; see [TAMSAT documentation](https://www.tamsat.org.uk/) and publications "," Handle large files; use NetCDF-compatible tools (e.g., xarray, netCDF4, raster); check for missing data flags and quality control layers; aggregate or subset as needed "," [TAMSAT Data Portal](https://www.tamsat.org.uk/data/), FTP/HTTP download (see website for latest), may require registration "," No formal public API; use [TAMSAT Data Portal](https://www.tamsat.org.uk/data/) for downloads; process with `xarray`, `netCDF4` (Python), or `raster` (R); check [documentation](https://www.tamsat.org.uk/documentation/) for updates ", \- , [Terms of Use](https://www.tamsat.org.uk/terms-of-use/): Free for non-commercial research and educational use; citation required ," Large file sizes; NetCDF format requires specific tools; access methods may change; rainfall only (no temperature, radiation, etc.); accuracy limited in regions with sparse gauge data ", [University of Reading](https://www.tamsat.org.uk/) , Versioning and updates noted in file names and [documentation](https://www.tamsat.org.uk/documentation/) ," ""TAMSAT rainfall dataset, University of Reading. See [TAMSAT website](https://www.tamsat.org.uk/) for citation guidance."" "," [TAMSAT Publications](https://www.tamsat.org.uk/publications/), validation studies listed on the website "," Rainfall pattern analysis, drought monitoring and early warning, agricultural planning, crop yield modeling, water availability assessment, climate risk analysis, validation of other rainfall datasets over Africa ", **High (core rainfall dataset for agroecological research in Africa)** 
 CHIRTS (Climate Hazards Center InfraRed Temperature with Stations) ," High-resolution, quasi-global maximum and minimum temperature dataset blending satellite thermal infrared data with ground station observations for climate monitoring and agricultural risk assessment "," [Climate Hazards Center (CHC), UCSB](https://www.chc.ucsb.edu/data/chirts) "," 60°S–70°N, 180°W–180°E "," 1983–2016 (v1.0), 1983–present (v2.0, ongoing updates) ", 0.05° x 0.05° (\~5.5 km at equator) , Daily , Maximum and minimum temperature (°C) , Validated against global station data; quality flags and uncertainty estimates included; see [CHIRTS documentation](https://www.chc.ucsb.edu/data/chirts) ," Metadata includes variable, unit, time, lat, lon, version, and processing details ", Updated as new versions or extensions are released (check CHC website for latest) , Blends satellite thermal infrared observations with ground station data; processing described in [CHIRTS documentation](https://www.chc.ucsb.edu/data/chirts) ," Handle NetCDF files; use xarray, netCDF4 (Python), or raster (R); check for missing data flags "," [CHC Data Portal (CHIRTS)](https://www.chc.ucsb.edu/data/chirts), FTP/HTTP download (see website) ", No formal API; use [CHC data portal](https://www.chc.ucsb.edu/data/chirts) for downloads and documentation , [Example: Download and process CHIRTS in R (GitHub)](https://github.com/AdaptationAtlas/hazards/blob/main/R/01_download_data/download_chirts.R) , Open for research and non-commercial use (see [CHC data use policy](https://www.chc.ucsb.edu/data/chirts)) , Large file sizes; requires geospatial software; limited to temperature variables ," [Climate Hazards Center, UCSB](https://www.chc.ucsb.edu/data/chirts) ", Version history and change log on [CHC website](https://www.chc.ucsb.edu/data/chirts) ," ""CHIRTS dataset provided by Climate Hazards Group, UCSB"" (see [CHC citation guidance](https://www.chc.ucsb.edu/data/chirts)) ", [Validation and methodology described in CHIRTS documentation](https://www.chc.ucsb.edu/data/chirts) and associated peer-reviewed publications ," Heat stress monitoring, crop modeling, climate trend analysis, agricultural risk assessment, drought impact studies, validation of other temperature datasets ", **High (core temperature dataset for agroecological research)** 
 ERA5 (ECMWF Reanalysis v5) ," Fifth generation ECMWF atmospheric reanalysis, providing hourly estimates for a large number of atmospheric, land, and ocean climate variables globally ", [European Centre for Medium-Range Weather Forecasts (ECMWF)](https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5) , Global , 1950 to near-present (updated daily) , 0.25° x 0.25° (\~31 km at equator) for atmospheric variables; other variables may differ , Hourly (monthly means also available) ," Air temperature (various levels), precipitation, surface radiation, wind speed/direction, soil moisture, evaporation, sea surface temperature, sea ice, and more ", Model-based with uncertainties estimated via ensemble; validated against observations; see [ERA5 documentation](https://confluence.ecmwf.int/display/CKB/ERA5:+data+documentation) ," Full metadata in GRIB files (variable definitions, units, provenance, coordinate system, version) ", Updated daily with a delay of 2–3 months for final data , Combines model data with global observations using 4D-Var data assimilation; see [ERA5 documentation](https://confluence.ecmwf.int/display/CKB/ERA5:+data+documentation)\[1\]\[3\]\[5\] , Use cfgrib/eccodes (Python) for GRIB; convert to NetCDF; subset spatially/temporally; check units/definitions ," [Copernicus Data Space Ecosystem (CDSE)](https://cds.climate.copernicus.eu/), [ECMWF Data Catalogue (MARS)](https://www.ecmwf.int/en/forecasts/accessing-forecasts/access-archives), [Cloud Platforms (AWS, GCP, Azure)](https://registry.opendata.aws/ecmwf-era5/) "," [CDS API Docs](https://cds.climate.copernicus.eu/api-how-to), [cfgrib Python package](https://github.com/ecmwf/cfgrib), [eccodes](https://confluence.ecmwf.int/display/ECC/ecCodes+Home) ", [ERA5 Python example (CDS API)](https://cds.climate.copernicus.eu/toolbox/doc/how-to/1_how_to_retrieve_data/1_how_to_retrieve_data.html) ," [Copernicus license](https://cds.climate.copernicus.eu/terms-and-conditions) (free for research/educational use, registration required) ", Registration required; large dataset volume; GRIB format needs specific tools; high computational demands; complexity of access and format ," [ECMWF, Copernicus Climate Change Service (C3S)](https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5) ", Versioning and change log available on [ECMWF documentation](https://confluence.ecmwf.int/display/CKB/ERA5:+data+documentation) ," ""ERA5 data provided by ECMWF and Copernicus Climate Change Service (C3S)"" "," [ERA5 evaluation and publications (ECMWF)](https://www.ecmwf.int/en/elibrary/20293-ecmwf-reanalysis-fifth-generation-era5), [Hersbach et al. (2020)](https://doi.org/10.1002/qj.3803) "," Temperature analysis, precipitation/drought monitoring, evapotranspiration, solar radiation, wind patterns, soil moisture, extreme weather, climate change impact studies ", **High (core dataset for agroecological and climate research)** 
 NASA Earth Exchange Global Daily Downscaled Projections (NEX-GDDP) ," Global, high-resolution (0.25°) daily climate projections downscaled from CMIP5 and CMIP6 GCMs, including key variables for climate impact studies ", [NASA Earth Exchange (NEX)](https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp) , CMIP5: 50°S–50°N; CMIP6: 60°S–90°N , CMIP5: 1950–2099; CMIP6: 1950–2100 , 0.25° x 0.25° (\~25 km) , Daily ," tasmin (daily min temperature, K), tasmax (daily max temperature, K), precipitation (kg m?² s?¹) "," Bias-corrected and spatially disaggregated; multiple GCMs/scenarios; see [NEX-GDDP Technical Notes](https://esgf.nccs.nasa.gov/esgdoc/NEX-GDDP_Tech_Note_v0.pdf) (CMIP5), [NEX-GDDP-CMIP6 Technical Note](https://www.nccs.nasa.gov/sites/default/files/NEX-GDDP-CMIP6-Tech_Note_4.pdf) "," NetCDF metadata includes variable, unit, scenario, model, time, lat, lon, and processing info ", Dataset is not updated in real time; new versions may be released for CMIP6/other projects ," Downscaled from CMIP5/CMIP6 GCMs using Bias-Correction Spatial Disaggregation (BCSD); see [technical documentation](https://esgf.nccs.nasa.gov/esgdoc/NEX-GDDP_Tech_Note_v0.pdf) (CMIP5), [NEX-GDDP-CMIP6 Technical Note](https://www.nccs.nasa.gov/sites/default/files/NEX-GDDP-CMIP6-Tech_Note_4.pdf) "," Handle large NetCDF files; use xarray, netCDF4, CDO; check for missing data flags; convert units as needed "," [NASA NCCS THREDDS](https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp), [AWS S3](https://registry.opendata.aws/nex-gddp/), [Google Earth Engine](https://developers.google.com/earth-engine/datasets/catalog/NASA_NEX-DCP30_ENSEMBLE_STATS) "," [Google Earth Engine API Docs](https://developers.google.com/earth-engine/datasets/catalog/NASA_NEX-DCP30_ENSEMBLE_STATS), [THREDDS NetCDFSubset](https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp), [AWS S3 API](https://registry.opendata.aws/nex-gddp/) "," [GEE example scripts](https://developers.google.com/earth-engine/datasets/catalog/NASA_NEX-DCP30_ENSEMBLE_STATS), [AWS S3 download example](https://registry.opendata.aws/nex-gddp/), [GitHub script to download data](https://github.com/AdaptationAtlas/hazards/blob/main/R/01_download_data/download_manual_nex_gddpCMIP6.R) ", Open for scientific research; not recommended for commercial/engineering use without expert consultation ," Large file sizes (up to 38 TB for CMIP6), requires technical expertise, limited to temperature/precipitation, projections subject to GCM/downscaling uncertainties ", [NASA Earth Exchange (NEX)](https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp) ," Versioning and change log available via [NEX-GDDP Technical Notes](https://esgf.nccs.nasa.gov/esgdoc/NEX-GDDP_Tech_Note_v0.pdf) (CMIP5), [NEX-GDDP-CMIP6 Technical Note](https://www.nccs.nasa.gov/sites/default/files/NEX-GDDP-CMIP6-Tech_Note_4.pdf) "," ""NASA Earth Exchange Global Daily Downscaled Projections (NEX-GDDP)"" (see [homepage](https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp) for citation details) "," [NEX-GDDP Technical Notes](https://esgf.nccs.nasa.gov/esgdoc/NEX-GDDP_Tech_Note_v0.pdf) (CMIP5), [NEX-GDDP-CMIP6 Technical Note](https://www.nccs.nasa.gov/sites/default/files/NEX-GDDP-CMIP6-Tech_Note_4.pdf) "," Climate risk assessment, crop yield modeling, drought/heat stress analysis, water resource planning, agroclimatic zoning, validation of local climate data ", **High (core dataset for climate impact and agroecological research)** 
 NASA POWER (Prediction Of Worldwide Energy Resources) ," Freely available, gridded solar and meteorological datasets derived from NASA satellite observations and climate models for renewable energy, agriculture, and building energy efficiency applications ", [NASA Langley Research Center (LaRC) POWER Project](https://power.larc.nasa.gov/) , Global , Varies by parameter; many from 1981 to near-present , 0.5° x 0.5° (\~50 km); some parameters may be higher resolution ," Daily, monthly, hourly (parameter-dependent) "," Solar radiation (insolation, direct normal irradiance, diffuse horizontal irradiance), surface meteorology (temperature, wind speed/direction, humidity, pressure), precipitation, evapotranspiration, soil moisture (some datasets), cloud cover ", Derived from NASA satellite products and reanalysis; validation and uncertainty information in documentation; see [POWER Documentation](https://power.larc.nasa.gov/docs/) ," Metadata included in NetCDF, JSON, and CSV outputs; variable names, units, coordinates, time, and processing info ", Updated regularly as new satellite and reanalysis data are processed , Combines satellite observations and climate models; see [POWER Documentation](https://power.larc.nasa.gov/docs/) for details ," Handle missing data flags; use appropriate tools for CSV, JSON, NetCDF (e.g., xarray, pandas, netCDF4); check units and spatial/temporal resolution "," [POWER Data Access Viewer](https://power.larc.nasa.gov/data-access-viewer/), [POWER API](https://power.larc.nasa.gov/docs/services/api/), direct download (CSV, JSON, NetCDF, GeoJSON) "," [API Getting Started](https://power.larc.nasa.gov/docs/tutorials/api-getting-started/), [POWER Python client (pynasapower)](https://pynasapower.readthedocs.io), [POWER R client (nasapower)](https://docs.ropensci.org/nasapower/) "," [API Python Example](https://pynasapower.readthedocs.io/en/latest/usage.html), [R Example](https://docs.ropensci.org/nasapower/articles/nasapower.html), [API Tutorials](https://power.larc.nasa.gov/docs/tutorials/) ", Public domain; free for use with attribution to NASA/POWER ([citation guidance](https://power.larc.nasa.gov/docs/resources/citation/)) , 0.5° resolution may be too coarse for local studies; temporal coverage varies by parameter; API requires programming knowledge; handle units and missing data carefully , [NASA Langley Research Center (LaRC)](https://power.larc.nasa.gov/) , Versioning and updates documented in [POWER Documentation](https://power.larc.nasa.gov/docs/) , [NASA POWER Citation Guidance](https://power.larc.nasa.gov/docs/resources/citation/) ," [POWER Publications](https://power.larc.nasa.gov/docs/resources/publications/), [Validation/Uncertainty](https://power.larc.nasa.gov/docs/methodology/uncertainty/) "," Solar resource assessment, crop modeling, irrigation planning, climate risk analysis, energy efficiency studies, agroclimatic zoning, weather-driven agricultural decision support ", **High (widely used for agroclimatology and renewable energy)** 
 CMIP6 (Coupled Model Intercomparison Project Phase 6) ," International coordinated climate modeling effort providing a comprehensive ensemble of global climate projections for understanding past, present, and future climate change "," [World Climate Research Programme (WCRP) WGCM](https://wcrp-cmip.org/cmip-phases/cmip6/), data via [Earth System Grid Federation (ESGF)](https://esgf.llnl.gov/) ", Global (resolution varies by model) , Historical: \~1850–present; Projections: up to 2100+ (varies by experiment) , Varies by model (from \~100 km to \~25 km or finer) ," Daily, monthly, sub-daily (model/variable-dependent) "," Temperature (surface, ocean, etc.), precipitation, radiation, wind, humidity, sea level pressure, sea ice, ocean currents, salinity, soil moisture, runoff, carbon cycle, and more "," Each modeling group provides validation and uncertainty info; ensemble approach allows assessment of robustness; see [Eyring et al., 2016](https://doi.org/10.5194/gmd-9-1937-2016) "," NetCDF files with CF-compliant metadata (variable/unit, model, experiment, grid, version, etc.) ", Not updated in real time; new experiments released as available , Data produced by international modeling centers; standardized protocols; see [CMIP6 Overview](https://wcrp-cmip.org/cmip-phases/cmip6/) ," Handle large NetCDF files; use xarray, netCDF4, dask; understand DRS structure; regrid as needed for analysis "," [ESGF Search](https://esgf-node.llnl.gov/projects/cmip6/), [Copernicus CDS](https://cds.climate.copernicus.eu/datasets/projections-cmip6), [CEDA STAC API](https://stac.ceda.ac.uk/collections/cmip6) "," [ESGF API Docs](https://wcrp-cmip.org/cmip-data-access/), [pyesgf Python library](https://github.com/ESGF/pyesgf), [Copernicus CDS API](https://cds.climate.copernicus.eu/api-how-to) ", [Example: Script to download rowCMIP6 in R(GitHub)](https://github.com/AdaptationAtlas/hazards/blob/main/R/01_download_data/download_rawCMIP6.R) ," Data access and use governed by contributing modeling group terms (see [ESGF Terms](https://esgf.llnl.gov/)), generally free for research/education with attribution ", Huge data volume; variable model resolutions; complex DRS structure; requires technical expertise; model biases and uncertainties; license terms vary by group ," [WCRP WGCM](https://wcrp-cmip.org/cmip-phases/cmip6/), [Modeling Centers](https://wcrp-cmip.org/research-community/modelling-centres/) ", Versioning and change log per model/experiment; see [CMIP6 DRS](https://pcmdi.llnl.gov/CMIP6/Guide/dataUsers.html) , See [CMIP6 Citation Guidance](https://www.wdc-climate.de/docs/pdf/CMIP6_Citation_Userguide.pdf) ," [Eyring et al., 2016](https://doi.org/10.5194/gmd-9-1937-2016), [CMIP6 Publications](https://wcrp-cmip.org/research-community/publications/) "," Climate change impact assessment, crop suitability, extreme event analysis, adaptation strategy development, regional downscaling, climate risk analysis ", **High (core dataset for climate and agroecological research)** 
